Parameterization,N,Run,Variable,Median R_hat,Maximum R_hat,Diagnostics OK,Mean,q05,q50,q95
Centered,2,82,theta[1],1.0052050000000001,1.01632,True,0.008139581412778499,-1.158140725,0.0017186221,1.149198329999999
Centered,2,83,log_sigma_sq,1.013265,1.03159,False,-1.2667171093737999,-4.3055797,-1.13404685,1.4170516299999996
Centered,2,83,theta[1],1.013265,1.03159,False,-0.005961860450115826,-1.1523735149999998,-0.017259549,1.1841840799999992
Centered,2,84,log_sigma_sq,1.01971,1.04839,False,-1.2297906833107501,-4.2723142,-1.1176311,1.40474617
Centered,2,84,theta[1],1.01971,1.04839,False,-0.011776078584205,-1.1325201449999998,-0.0044213319000000004,1.0858888699999973
Centered,2,85,log_sigma_sq,1.043365,1.08698,False,-1.9132081347514849,-5.3091391,-1.73748605,1.1162453699999995
Centered,2,85,theta[1],1.043365,1.08698,False,-0.0007807315871649991,-0.942975189,-0.0076398904,1.0186785399999998
Centered,2,86,log_sigma_sq,1.0058349999999998,1.01662,True,-1.3164622392131795,-3.9989431,-1.26237475,1.2731139200000001
Centered,2,86,theta[1],1.0058349999999998,1.01662,True,-0.013951582147335002,-1.130687735,-0.0028035497,1.0742968549999998
Centered,2,87,log_sigma_sq,1.02685,1.06177,False,-1.4243516111009251,-4.812960224999999,-1.2274145,1.4571908199999983
Centered,2,87,theta[1],1.02685,1.06177,False,0.0049725633376600025,-1.08116131,0.00168141595,1.1543841000000001
Centered,2,88,log_sigma_sq,1.006435,1.0226,True,-1.060343155783649,-3.78570699,-1.0296783,1.703250839999999
Centered,2,88,theta[1],1.006435,1.0226,True,0.00048360586399624815,-1.1827797549999999,0.000801323475,1.131221064999998
Centered,2,89,log_sigma_sq,1.015175,1.03798,False,-1.7549792155975623,-4.8607149,-1.67836645,1.1432817549999972
Centered,2,89,theta[1],1.015175,1.03798,False,0.007617725451347501,-0.9333013720000001,0.013525168,0.9754793444999996
Centered,2,90,log_sigma_sq,1.00652,1.02434,True,-1.5531905291813,-4.4310649,-1.5490082,1.2720649149999999
Centered,2,90,theta[1],1.00652,1.02434,True,-0.004006084311820002,-0.9908595214999999,-0.00823088835,0.9831179394999997
Centered,2,91,log_sigma_sq,1.03693,1.09709,False,-1.527803235670025,-5.5665714,-1.35729125,1.3660395799999987
Centered,2,91,theta[1],1.03693,1.09709,False,0.01579041470514725,-1.0377612949999997,-0.0016175769999999998,1.137333279999999
Centered,2,92,log_sigma_sq,1.005385,1.01771,True,-1.635600509936195,-4.9028714,-1.55624795,1.216950899999999
Centered,2,92,theta[1],1.005385,1.01771,True,-0.0027456846067975015,-1.00635366,0.014125414,1.0042054899999997
